0.5299998, 0.01714737, 0.001630355, 6.300441, 0, -0.001401153917222676865995, 54852.53, -1085.543, -3.95279, 0.004901078, 0.07899523, 317.95, 1.291555, 1.192726, 1.571966
 
0.5399998, 0.01199727, 0.001801829, 6.297543, 0, -0.001142639697170220181163, 54748.84, -1086.231, -3.95279, 0.004901078, 0.07899523, 317.6961, 1.291245, 1.192726, 1.571966
 
0.5499998, 0.006929069, 0.001921802, 6.294337, 0, -0.0008739933606030880426681, 54645.5, -1086.864, -3.95279, 0.004901078, 0.07899523, 317.4428, 1.290937, 1.192726, 1.571966
 
0.5599998, 0.002018895, 0.001991092, 6.290817, 0, -0.0005998659802764857060768, 54542.49, -1087.441, -3.95279, 0.004901078, 0.07899523, 317.1902, 1.290629, 1.192726, 1.571966
 
0.5699998, -0.002664831, 0.002011281, 6.286989, 0, -0.0003247258066276065151145471, 54439.94, -1087.963, -3.95279, 0.004901078, 0.07899523, 316.9384, 1.290322, 1.192726, 1.571966
 
0.5799997, -0.007055856, 0.001984633, 6.282837, 0, -0.0000531680188681227063420914, 54337.73, -1088.426, -3.95279, 0.004901078, 0.07899523, 316.6873, 1.290015, 1.192726, 1.571966
 
0.5899997, -0.01109831, 0.001914075, 6.27836, 0, 0.0002106159432803912193196, 54235.85, -1088.832, -3.95279, 0.004901078, 0.07899523, 316.4368, 1.289697, 1.192726, 1.571966
 
0.5999997, -0.01473792, 0.001803091, 6.273558, 0, 0.0004623321146568567549660, 54134.32, -1089.178, -3.95279, 0.004901078, 0.07899523, 316.1869, 1.289377, 1.192726, 1.571966
 
0.6099997, -0.01794331, 0.001655712, 6.268425, 0, 0.0006988177482151649901973326, 54033.13, -1089.466, -3.95279, 0.004901078, 0.07899523, 315.9375, 1.289059, 1.192726, 1.571966
 
0.6199997, -0.02068709, 0.001476279, 6.262959, 0, 0.0009170175565672567938367997, 53932.26, -1089.693, -3.95279, 0.004901078, 0.07899523, 315.6888, 1.288742, 1.192726, 1.571966
 
0.6299997, -0.02296169, 0.001269408, 6.257155, 0, 0.001114976211185897390981, 53831.74, -1089.859, -3.95279, 0.004901078, 0.07899523, 315.4407, 1.288427, 1.192726, 1.571966
 
0.6399997, -0.02476302, 0.001039791, 6.251011, 0, 0.001290910613956885651779, 53731.56, -1089.963, -3.95279, 0.004901078, 0.07899523, 315.1933, 1.288113, 1.192726, 1.571966
 
0.6499997, -0.02608347, 0.0007921612, 6.244524, 0, 0.001442769299409670590568, 53631.71, -1090.005, -3.95279, 0.004901078, 0.07899523, 314.9464, 1.2878, 1.192726, 1.571966
 
0.6599997, -0.02693856, 0.0005313265, 6.237696, 0, 0.001569911089686062104882, 53532.3, -1089.983, -3.95279, 0.004901078, 0.07899523, 314.7004, 1.287489, 1.192726, 1.571966
 
0.6699997, -0.02732124, 0.0002619409, 6.230519, 0, 0.001670293576944512931512, 53433.22, -1089.897, -3.95279, 0.004901078, 0.07899523, 314.455, 1.28718, 1.192726, 1.571966
 
0.6799996, -0.02728268, -1.127147E-05, 6.222984, 0, 0.001745557833598958367008, 53334.37, -1089.747, -3.95279, 0.004901078, 0.07899523, 314.21, 1.286873, 1.192726, 1.571966
 
